id,listtype,list,listnum,category,letter,itemnum,response,rt,semantic,phonological,overlap,hard_switch,soft_switch,any_switch,cue_combo,cue_valid,condition
R_11oxznFVfJMfzg2,semantic_4,semantic,4,bodyparts,,22,chin,4438,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,phono_3,phono,3,,s,1,snake,5913,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_3,phono,3,,s,2,snack,2605,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_3,phono,3,,s,3,sharpie,2330,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_3,phono,3,,s,4,sore,1753,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_3,phono,3,,s,5,sap,1414,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_3,phono,3,,s,6,soar,2250,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_3,phono,3,,s,7,sore,1193,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_3,phono,3,,s,8,sold,2016,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_3,phono,3,,s,9,sat,1993,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_3,phono,3,,s,10,sea,1317,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_3,phono,3,,s,11,see,1073,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_3,phono,3,,s,12,score,5542,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_3,phono,3,,s,13,soccer,1977,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_3,phono,3,,s,14,stand,1450,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_3,phono,3,,s,15,super,2180,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_3,phono,3,,s,16,scary,2130,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_3,phono,3,,s,17,sentimental,4816,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_3,phono,3,,s,18,stay,2802,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_3,phono,3,,s,19,sip,1800,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_3,phono,3,,s,20,share,3183,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_3,phono,3,,s,21,shake,3870,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_3,phono,3,,s,22,should,3468,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_4,phono,4,,b,1,bored,5069,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_4,phono,4,,b,2,bell,1630,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_4,phono,4,,b,3,bench,2705,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_4,phono,4,,b,4,back,1984,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_4,phono,4,,b,5,ball,3783,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_4,phono,4,,b,6,basket,3033,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_4,phono,4,,b,7,basketball,3297,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_4,phono,4,,b,8,bond,2402,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_4,phono,4,,b,9,bat,6281,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_4,phono,4,,b,10,batter,1659,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_4,phono,4,,b,11,bake,8316,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_4,phono,4,,b,12,banned,2717,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_4,phono,4,,b,13,banner,1511,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_4,phono,4,,b,14,bail,1935,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_4,phono,4,,b,15,bawl,3604,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,phono_4,phono,4,,b,16,bet,8261,no,yes,no,no,no,no,letter_only,yes,phonological
R_11oxznFVfJMfzg2,conj_3,conj,3,animals,f,1,ferret,5427,yes,yes,yes,no,no,no,both,yes,conjunctive
R_11oxznFVfJMfzg2,conj_3,conj,3,animals,f,2,fish,5735,yes,yes,yes,no,no,no,both,yes,conjunctive
R_11oxznFVfJMfzg2,conj_3,conj,3,animals,f,3,finch,3606,yes,yes,yes,no,no,no,both,yes,conjunctive
R_11oxznFVfJMfzg2,conj_3,conj,3,animals,f,4,flamingo,37442,yes,yes,yes,no,no,no,both,yes,conjunctive
R_11oxznFVfJMfzg2,conj_4,conj,4,toys,p,1,pickleball,24404,no,yes,no,no,no,no,letter_only,yes,conjunctive
R_13qlF5SjONdm5UA,semantic_3,semantic,3,furniture,,1,Couch,5626,yes,no,no,no,no,no,semantic_only,yes,semantic
R_13qlF5SjONdm5UA,semantic_3,semantic,3,furniture,,2,bed,6131,yes,no,no,no,no,no,semantic_only,yes,semantic
R_13qlF5SjONdm5UA,semantic_3,semantic,3,furniture,,3,ottoman,5483,yes,no,no,no,no,no,semantic_only,yes,semantic
R_13qlF5SjONdm5UA,semantic_3,semantic,3,furniture,,4,tv stand,3717,no,no,no,no,no,no,neither,no,semantic
R_13qlF5SjONdm5UA,semantic_3,semantic,3,furniture,,5,desk,4782,yes,no,no,no,no,no,semantic_only,yes,semantic
R_13qlF5SjONdm5UA,semantic_3,semantic,3,furniture,,6,desk chair,4100,no,no,no,no,no,no,neither,no,semantic
R_13qlF5SjONdm5UA,semantic_3,semantic,3,furniture,,7,coffee table,5916,yes,no,no,no,no,no,semantic_only,yes,semantic
R_13qlF5SjONdm5UA,semantic_3,semantic,3,furniture,,8,nightstand,5617,yes,no,no,no,no,no,semantic_only,yes,semantic
R_13qlF5SjONdm5UA,semantic_3,semantic,3,furniture,,9,bed frame,8232,yes,no,no,no,no,no,semantic_only,yes,semantic
R_13qlF5SjONdm5UA,semantic_3,semantic,3,furniture,,10,vanity,7782,yes,no,no,no,no,no,semantic_only,yes,semantic
R_13qlF5SjONdm5UA,semantic_4,semantic,4,bodyparts,,1,Arm,4736,yes,no,no,no,no,no,semantic_only,yes,semantic
R_13qlF5SjONdm5UA,semantic_4,semantic,4,bodyparts,,2,leg,2532,yes,no,no,no,no,no,semantic_only,yes,semantic
R_13qlF5SjONdm5UA,semantic_4,semantic,4,bodyparts,,3,head,10717,yes,no,no,no,no,no,semantic_only,yes,semantic
R_13qlF5SjONdm5UA,semantic_4,semantic,4,bodyparts,,4,abdomen,8514,yes,no,no,no,no,no,semantic_only,yes,semantic
R_13qlF5SjONdm5UA,semantic_4,semantic,4,bodyparts,,5,neck,10733,yes,no,no,no,no,no,semantic_only,yes,semantic
R_13qlF5SjONdm5UA,semantic_4,semantic,4,bodyparts,,6,fingers,6649,yes,no,no,no,no,no,semantic_only,yes,semantic
R_13qlF5SjONdm5UA,semantic_4,semantic,4,bodyparts,,7,toes,1433,yes,no,no,no,no,no,semantic_only,yes,semantic
R_13qlF5SjONdm5UA,semantic_4,semantic,4,bodyparts,,8,ear,2667,yes,no,no,no,no,no,semantic_only,yes,semantic
R_13qlF5SjONdm5UA,phono_3,phono,3,,s,1,Smell,6259,no,yes,no,no,no,no,letter_only,yes,phonological
R_13qlF5SjONdm5UA,phono_3,phono,3,,s,2,start,2051,no,yes,no,no,no,no,letter_only,yes,phonological
R_13qlF5SjONdm5UA,phono_3,phono,3,,s,3,smart,2032,no,yes,no,no,no,no,letter_only,yes,phonological
R_13qlF5SjONdm5UA,phono_3,phono,3,,s,4,slug,2318,no,yes,no,no,no,no,letter_only,yes,phonological
R_13qlF5SjONdm5UA,phono_3,phono,3,,s,5,slow,1583,no,yes,no,no,no,no,letter_only,yes,phonological
R_13qlF5SjONdm5UA,phono_3,phono,3,,s,6,sloppy,4133,no,yes,no,no,no,no,letter_only,yes,phonological
R_13qlF5SjONdm5UA,phono_3,phono,3,,s,7,slick,2867,no,yes,no,no,no,no,letter_only,yes,phonological
R_13qlF5SjONdm5UA,phono_3,phono,3,,s,8,sleep,4083,no,yes,no,no,no,no,letter_only,yes,phonological
R_13qlF5SjONdm5UA,phono_3,phono,3,,s,9,slip,2367,no,yes,no,no,no,no,letter_only,yes,phonological
